,RESULTS/xor/xor_500samples_50features_Original_mean,RESULTS/xor/xor_500samples_50features_2dembedding_mean,RESULTS/xor/xor_500samples_50features_KLdivergence_mean,RESULTS/synth/synth_100samples_5000features_50informative_Original_mean,RESULTS/synth/synth_100samples_5000features_50informative_2dembedding_mean,RESULTS/synth/synth_100samples_5000features_50informative_KLdivergence_mean,RESULTS/liver/Liver_GSE22405_Original_mean,RESULTS/liver/Liver_GSE22405_2dembedding_mean,RESULTS/liver/Liver_GSE22405_KLdivergence_mean,RESULTS/prostate/Prostate_GSE6919_U95C_Original_mean,RESULTS/prostate/Prostate_GSE6919_U95C_2dembedding_mean,RESULTS/prostate/Prostate_GSE6919_U95C_KLdivergence_mean
NoSelection,-2.4643111125036725e-05,0.002715686801240313,2.1174731858680262,0.0007108703989761267,-0.009349411324565704,0.1570969348286777,0.03831985676847936,0.03827930513509995,0.14283332233181945,0.007722096299010889,0.04593084739844145,0.5081790661524286
KruskallWallisFilter,0.003768149474925313,0.009922028105572208,0.4777560840898501,0.04114818420122033,0.609318609834411,0.5566051287805553,0.18321472346330325,0.4489602105348162,0.15423003401747426,0.07214229579330363,0.1964777622975181,0.3537589689265843
MutualInformationFilter,-0.00014880084822203502,-0.0007914967171539302,1.186374439869633,0.005974444795766246,0.18015454436127534,0.6919630253664204,0.13337106094113724,0.23429136565692615,0.14721799721810402,0.024787475326746126,0.12085542135664293,0.4884812469117552
MRMR,-0.00031986688880551603,-0.002498216115912488,0.7433692720640606,0.008035935873542555,0.029694018015692363,0.7726019643371824,0.22788748227389236,0.5604863384240332,0.17740724444343936,0.031134989807186125,0.15550828365896216,0.5425874566609803
ReliefFFeatureSelector,0.10427520090966726,0.2038427105117,0.8010489827832199,0.005193247129091719,0.4331824798368011,0.3252309978617429,0.1280050877513443,0.3328289172724225,0.1813852164631662,0.017516717096836533,0.12555250021452133,0.47667547284364
Lasso,0.0003692316170644609,0.0050063770216227715,1.5351517765620937,0.0008509045166578883,0.05168769572788216,0.16084550845936008,0.03879205428264042,0.03251968737654678,0.1427210278874229,0.007699440661975509,0.02680252890521144,0.5093832208052982
DecisionTree,-0.000612041924587603,-0.0020137168995490603,0.6508053847054232,0.04969857823423565,0.05843460875287395,0.4826320582324604,0.35814035429251057,0.42183911983252337,0.06859158490389472,0.07812800547892744,0.12188564578604286,0.4156998715963285
RandomForest,0.08886502319372852,0.20443584345835966,0.9137607660413972,0.014236245976109684,0.04492232019492083,0.7403395977116611,0.2349623389551598,0.4903697904851732,0.20874612029056472,0.05242314674290835,0.16189747550755704,0.5120844857134079
LinearSVM,0.000292265041553858,-0.0005835490023206318,1.5887246986407515,0.0018712996107798738,0.17966969739177002,0.18762682195755254,0.0403708092085766,0.0368113590710513,0.1563162569765808,0.00797015533356893,0.04930017861729498,0.553046057746676
RelAgg,0.2479338478503253,0.1926062739542332,0.4999064187358409,0.013909362683009985,0.19973779852034854,0.6538910308610397,0.3873195953006573,0.7815385736449398,0.1740111219336118,0.0977281010309539,0.2003291353221306,0.40198069391908575
