,wt-SNE 1,wt-SNE 2,type
GSM557089.CEL.gz,4.357985620264725,-5.127134571414493,normal
GSM557091.CEL.gz,1.9964656241008325,-6.328979684501481,normal
GSM557093.CEL.gz,0.1637357756449062,-2.092750891120074,normal
GSM557095.CEL.gz,0.9315541593178608,-1.95187516896209,normal
GSM557097.CEL.gz,2.5073066866573956,-3.0200555863871443,normal
GSM557099.CEL.gz,3.177814069762296,-2.7296206036095665,normal
GSM557101.CEL.gz,1.6272154495595506,-5.2981995553674075,normal
GSM557103.CEL.gz,3.8754565940865837,-3.2699197534700972,normal
GSM557105.CEL.gz,3.7105138420653865,-4.156428622331981,normal
GSM557107.CEL.gz,-0.8116576956328825,-3.7801649589921724,normal
GSM557109.CEL.gz,1.091017281259401,-2.3856537959827415,normal
GSM557111.CEL.gz,-0.16897920285437218,-4.5989017156175445,normal
GSM557113.CEL.gz,4.423495853971987,1.004280333778822,normal
GSM557115.CEL.gz,2.9072606125187823,-3.658790870249946,normal
GSM557117.CEL.gz,-0.43718089612876143,-5.149108038622328,normal
GSM557119.CEL.gz,4.581725730594564,-2.995429548168745,normal
GSM557121.CEL.gz,3.4379999363777682,0.9608494518493274,normal
GSM557123.CEL.gz,4.446096695154751,-0.6806506189240394,normal
GSM557125.CEL.gz,0.4968561810140445,-2.8469206873408086,normal
GSM557127.CEL.gz,1.7080467431666007,-6.643239692656691,normal
GSM557129.CEL.gz,1.2759459805494622,-4.114067854163391,normal
GSM557131.CEL.gz,3.7670953048783806,0.2656714412587528,normal
GSM557133.CEL.gz,4.680674424649321,-1.9200842644182434,normal
GSM557135.CEL.gz,1.7290494483346777,-3.808191159892108,normal
GSM557090.CEL.gz,-2.0607268781853896,1.3442462783162685,heptocarcinoma
GSM557092.CEL.gz,-3.711486800440293,7.157772008296566,heptocarcinoma
GSM557094.CEL.gz,-3.0731581001028827,6.064596467609111,heptocarcinoma
GSM557096.CEL.gz,-1.9069184441840723,6.809315754620555,heptocarcinoma
GSM557098.CEL.gz,-0.7628071859478436,0.791759838322597,heptocarcinoma
GSM557100.CEL.gz,-0.6515118921152632,1.3531409085439827,heptocarcinoma
GSM557102.CEL.gz,-5.349201007149343,5.974904322304445,heptocarcinoma
GSM557104.CEL.gz,-2.7477748357259704,3.4830951123195795,heptocarcinoma
GSM557106.CEL.gz,-3.4238811279502688,4.585035264385505,heptocarcinoma
GSM557108.CEL.gz,-1.26984222860764,-4.736385454377294,heptocarcinoma
GSM557110.CEL.gz,0.6951775893180235,0.22351924967502473,heptocarcinoma
GSM557112.CEL.gz,-4.453469333579181,6.494642659812536,heptocarcinoma
GSM557114.CEL.gz,-3.26266683661196,1.663025780188477,heptocarcinoma
GSM557116.CEL.gz,-2.452967405028894,3.052920169442961,heptocarcinoma
GSM557118.CEL.gz,-3.9495990912854637,5.328469104546063,heptocarcinoma
GSM557120.CEL.gz,-1.157726884446812,2.0324348786055,heptocarcinoma
GSM557122.CEL.gz,-2.8015913294405084,5.385283702619103,heptocarcinoma
GSM557124.CEL.gz,1.7282204878723673,-0.0047137965998126285,heptocarcinoma
GSM557126.CEL.gz,-1.7225914703401473,5.396433453645011,heptocarcinoma
GSM557128.CEL.gz,-4.772561530731526,5.3404244729315025,heptocarcinoma
GSM557130.CEL.gz,2.5998240100438137,1.4029814014353468,heptocarcinoma
GSM557132.CEL.gz,-0.9687203468438675,3.2471557915708864,heptocarcinoma
GSM557134.CEL.gz,-5.0107551619187,0.9414308764261948,heptocarcinoma
GSM557136.CEL.gz,-4.988758415911457,0.9938781706660981,heptocarcinoma
