,wt-SNE 1,wt-SNE 2,type
GSM557089.CEL.gz,0.02704165572466789,-3.0468947863904496,normal
GSM557091.CEL.gz,0.17107661784636422,-2.057313538955654,normal
GSM557093.CEL.gz,-0.6525579239682174,-0.5908977602295783,normal
GSM557095.CEL.gz,-0.35906648362441085,-0.02626669806415514,normal
GSM557097.CEL.gz,-0.4664082415711731,-0.7026236458544233,normal
GSM557099.CEL.gz,-2.8224611305736906,-0.518253645204253,normal
GSM557101.CEL.gz,0.9612557169995387,-5.822013764026187,normal
GSM557103.CEL.gz,-2.5942831512043143,-2.2163603932966414,normal
GSM557105.CEL.gz,-1.97457285707983,-2.075163739316568,normal
GSM557107.CEL.gz,2.2651637501823387,-2.5214700970665644,normal
GSM557109.CEL.gz,-1.072009474151112,0.3479731759387929,normal
GSM557111.CEL.gz,0.4633295452094389,-5.625584650722228,normal
GSM557113.CEL.gz,-2.592123268047592,0.5706963835722724,normal
GSM557115.CEL.gz,-1.3361079033170353,-0.7766711962916855,normal
GSM557117.CEL.gz,0.4698108129643041,-5.536780077052875,normal
GSM557119.CEL.gz,-1.9202091119724625,-0.8517573787528974,normal
GSM557121.CEL.gz,-4.625321278088597,-0.6537867583901302,normal
GSM557123.CEL.gz,-6.713409521283044,1.1032968934878422,normal
GSM557125.CEL.gz,-0.82780975421146,-1.909720201630365,normal
GSM557127.CEL.gz,1.4870757871034435,-3.336378457349481,normal
GSM557129.CEL.gz,-4.79692549966898,1.6576195349117615,normal
GSM557131.CEL.gz,-5.424956142848741,0.39713753549811714,normal
GSM557133.CEL.gz,-5.788296821402217,1.380325294539064,normal
GSM557135.CEL.gz,-4.9814842583608625,1.8035186381941093,normal
GSM557090.CEL.gz,4.221752175849016,2.634348744845523,heptocarcinoma
GSM557092.CEL.gz,3.793583374569926,0.3587080392154139,heptocarcinoma
GSM557094.CEL.gz,3.030330394398247,0.7962903392205036,heptocarcinoma
GSM557096.CEL.gz,2.131021071124724,0.9387512131433409,heptocarcinoma
GSM557098.CEL.gz,-0.552653621673898,2.8940980838540264,heptocarcinoma
GSM557100.CEL.gz,0.6795535335823757,1.884845658242717,heptocarcinoma
GSM557102.CEL.gz,7.95494936097848,-1.0114026812559396,heptocarcinoma
GSM557104.CEL.gz,4.494858154462617,-0.652227062147985,heptocarcinoma
GSM557106.CEL.gz,4.758383163755717,-0.6146651242603379,heptocarcinoma
GSM557108.CEL.gz,2.137043379515011,-2.96908546223563,heptocarcinoma
GSM557110.CEL.gz,0.4936464253914775,0.9635879531637842,heptocarcinoma
GSM557112.CEL.gz,7.905789021270601,0.09754331980365212,heptocarcinoma
GSM557114.CEL.gz,1.4195192807151484,3.475750645169775,heptocarcinoma
GSM557116.CEL.gz,4.812566574956712,1.1937669817697247,heptocarcinoma
GSM557118.CEL.gz,7.864494355523422,-0.12972788000841753,heptocarcinoma
GSM557120.CEL.gz,0.3080454409314542,2.710882940436269,heptocarcinoma
GSM557122.CEL.gz,5.376458418188087,1.118760926706242,heptocarcinoma
GSM557124.CEL.gz,-6.188289832541555,2.0137511133533987,heptocarcinoma
GSM557126.CEL.gz,4.899497735530789,1.8274933500732098,heptocarcinoma
GSM557128.CEL.gz,5.937311205933625,-0.030049187668659338,heptocarcinoma
GSM557130.CEL.gz,-7.633221472427423,1.7627607460168953,heptocarcinoma
GSM557132.CEL.gz,-5.550699259731787,3.6815968169529896,heptocarcinoma
GSM557134.CEL.gz,-4.774175778196427,3.8465425240690134,heptocarcinoma
GSM557136.CEL.gz,-4.416514166762708,4.215047333992666,heptocarcinoma
