,wt-SNE 1,wt-SNE 2,type
GSM557089.CEL.gz,-1.315421023036734,-4.459322802148234,normal
GSM557091.CEL.gz,-0.9216900502527651,-3.8674948645694665,normal
GSM557093.CEL.gz,0.16603737707233365,-2.1437977413035636,normal
GSM557095.CEL.gz,-0.2714440884543016,-1.758349588619059,normal
GSM557097.CEL.gz,0.20728498711819277,-1.8766585082210017,normal
GSM557099.CEL.gz,1.0271278237763584,-1.8413748981818077,normal
GSM557101.CEL.gz,-2.5102959442215105,-6.438030673721488,normal
GSM557103.CEL.gz,1.496455393415434,-3.1785531701827594,normal
GSM557105.CEL.gz,1.2219926443144027,-3.1068143463703013,normal
GSM557107.CEL.gz,0.34316101005131955,-5.34342912865879,normal
GSM557109.CEL.gz,-0.6687460451839985,-2.5125783824910135,normal
GSM557111.CEL.gz,-2.6953132989115516,-5.9992519150150985,normal
GSM557113.CEL.gz,-1.9829035321395674,-2.548092323396498,normal
GSM557115.CEL.gz,0.023626653618867635,-2.9659616124243193,normal
GSM557117.CEL.gz,-2.6806253720404722,-5.937929496459774,normal
GSM557119.CEL.gz,0.22521722075369355,-3.6497191980730572,normal
GSM557121.CEL.gz,2.8000418282608264,-0.9505157359380204,normal
GSM557123.CEL.gz,3.846998038493219,-0.5900621849438028,normal
GSM557125.CEL.gz,-0.2887613095826529,-4.432871604070126,normal
GSM557127.CEL.gz,-0.9006286197378315,-5.747882852605547,normal
GSM557129.CEL.gz,4.052146299220611,-2.5793811365084247,normal
GSM557131.CEL.gz,3.4415637168067317,-1.578829294904361,normal
GSM557133.CEL.gz,4.000946790338339,-1.5854427992871214,normal
GSM557135.CEL.gz,4.244821245324478,-2.309722020796936,normal
GSM557090.CEL.gz,-0.87418352037831,3.924890926772176,heptocarcinoma
GSM557092.CEL.gz,-3.2329657865557344,3.893521796022478,heptocarcinoma
GSM557094.CEL.gz,-2.768638876216324,2.6748238452448163,heptocarcinoma
GSM557096.CEL.gz,-1.7949253342771023,1.939430096631179,heptocarcinoma
GSM557098.CEL.gz,1.287668080835844,4.831408617965351,heptocarcinoma
GSM557100.CEL.gz,-0.04659424576443311,1.5485871748502729,heptocarcinoma
GSM557102.CEL.gz,-3.6183765004836976,6.685806442145743,heptocarcinoma
GSM557104.CEL.gz,-1.7030292773199376,3.7269313948454452,heptocarcinoma
GSM557106.CEL.gz,-2.007133088118362,3.5293740135986607,heptocarcinoma
GSM557108.CEL.gz,0.15637470448338903,-5.929122429298997,heptocarcinoma
GSM557110.CEL.gz,-0.8488224779387407,1.3585845755860415,heptocarcinoma
GSM557112.CEL.gz,-3.8577487796512084,5.161033524806602,heptocarcinoma
GSM557114.CEL.gz,0.8401812652540775,3.879415102381308,heptocarcinoma
GSM557116.CEL.gz,-1.213092830661984,4.9250185030857425,heptocarcinoma
GSM557118.CEL.gz,-3.568332378377925,5.780800277624388,heptocarcinoma
GSM557120.CEL.gz,0.5561463718232139,4.701781943938043,heptocarcinoma
GSM557122.CEL.gz,-2.0092698833272578,5.443892789674828,heptocarcinoma
GSM557124.CEL.gz,4.570408058676575,-0.8674099674895825,heptocarcinoma
GSM557126.CEL.gz,-1.327766341284419,5.487507608766565,heptocarcinoma
GSM557128.CEL.gz,-2.9981658821517234,5.222046861198065,heptocarcinoma
GSM557130.CEL.gz,3.6747787125364333,1.4713790206321586,heptocarcinoma
GSM557132.CEL.gz,2.6284945310783767,2.4467434385667755,heptocarcinoma
GSM557134.CEL.gz,2.611714348806281,2.590808993720923,heptocarcinoma
GSM557136.CEL.gz,2.681687384009546,2.974811727621585,heptocarcinoma
