,wt-SNE 1,wt-SNE 2,type
GSM153054.CEL,-0.02850248030128578,6.0954484188426985,primary_prostate_tumor
GSM153055.CEL,-2.0753038518730924,-0.15843729783513244,primary_prostate_tumor
GSM153056.CEL,-0.10269519619793381,-4.589343824167104,primary_prostate_tumor
GSM153057.CEL,2.006451512097943,-6.962450976918068,primary_prostate_tumor
GSM153058.CEL,3.5264848644169677,-6.6616953286708505,primary_prostate_tumor
GSM153059.CEL,2.709705538220307,-7.1598903053118095,primary_prostate_tumor
GSM153061.CEL,-5.1939667468914745,0.8631368047511968,primary_prostate_tumor
GSM153063.CEL,4.350351010369112,-1.61560774307489,primary_prostate_tumor
GSM153064.CEL,2.298111724445836,0.6586709558487515,primary_prostate_tumor
GSM153066.CEL,1.940129112994315,8.414677352876842,primary_prostate_tumor
GSM153067.CEL,0.6674962861357291,0.9515272521283866,primary_prostate_tumor
GSM153068.CEL,4.085632695323128,-6.296784194629355,primary_prostate_tumor
GSM153069.CEL,-2.9103306196752765,-6.243531403485778,primary_prostate_tumor
GSM153070.CEL,0.266093182857585,0.12471434908524669,primary_prostate_tumor
GSM153072.CEL,-3.262449566596742,5.340129285798293,primary_prostate_tumor
GSM153073.CEL,-2.470684942281639,1.5399261156992086,primary_prostate_tumor
GSM153074.CEL,0.029030684775918435,-5.103542375713779,primary_prostate_tumor
GSM153075.CEL,2.606027623767152,-2.9653491982386884,primary_prostate_tumor
GSM153076.CEL,3.0789297981193746,3.6406192106356916,primary_prostate_tumor
GSM153077.CEL,0.7407889632715722,2.8589083661420114,primary_prostate_tumor
GSM153078.CEL,3.684238452099748,-6.7903617133793785,primary_prostate_tumor
GSM153079.CEL,1.986062579927328,4.720662989484118,primary_prostate_tumor
GSM153080.CEL,-1.4729445096677427,1.2978264315566184,primary_prostate_tumor
GSM153081.CEL,-2.5612284550821593,3.987592571935935,primary_prostate_tumor
GSM153082.CEL,1.672234168196301,4.078181160228553,primary_prostate_tumor
GSM153083.CEL,2.435740706008399,4.22818302950155,primary_prostate_tumor
GSM153084.CEL,-2.401547288536125,2.330172465382394,primary_prostate_tumor
GSM153085.CEL,-1.9906499912693736,2.7382827505163285,primary_prostate_tumor
GSM153086.CEL,0.8471970491410732,1.5968587621209969,primary_prostate_tumor
GSM153087.CEL,1.1957469633969242,-5.1751957256198065,primary_prostate_tumor
GSM153088.CEL,4.5863745909284725,2.035512344776372,primary_prostate_tumor
GSM153089.CEL,-0.7108823331618757,1.0714620070455163,primary_prostate_tumor
GSM153090.CEL,-2.196788445404753,-0.7887083431125477,primary_prostate_tumor
GSM153091.CEL,1.6244506915404728,3.679693091581201,primary_prostate_tumor
GSM153092.CEL,1.3384544696756868,1.7988929717650073,primary_prostate_tumor
GSM153093.CEL,-3.4765327774381016,-4.088545807548645,primary_prostate_tumor
GSM153094.CEL,-0.6400894550869447,3.1706664447200197,primary_prostate_tumor
GSM153095.CEL,-1.933675158933945,4.1310513905237185,primary_prostate_tumor
GSM153096.CEL,3.6496707822907717,1.242073961277289,primary_prostate_tumor
GSM153097.CEL,-1.0087114213220782,4.8258671018793144,primary_prostate_tumor
GSM153098.CEL,0.32323528154005027,7.423211610666906,primary_prostate_tumor
GSM153099.CEL,-1.3738687735513093,-4.765003757640953,primary_prostate_tumor
GSM153100.CEL,-0.10444175975496782,0.9460337114721589,primary_prostate_tumor
GSM153101.CEL,-0.8872005817598181,6.386366536140695,primary_prostate_tumor
GSM153102.CEL,1.8834544344145943,6.253209371885232,primary_prostate_tumor
GSM153103.CEL,1.430059562714163,7.091051669828661,primary_prostate_tumor
