,wt-SNE 1,wt-SNE 2,type
GSM153054.CEL,-3.928293723025344,-4.473205060993868,primary_prostate_tumor
GSM153055.CEL,0.6515588059778222,0.9006819822472083,primary_prostate_tumor
GSM153056.CEL,-0.5944328654286627,3.0391145238713895,primary_prostate_tumor
GSM153057.CEL,0.2987675249463725,4.046608247108727,primary_prostate_tumor
GSM153058.CEL,0.11340817361931493,4.201577854864876,primary_prostate_tumor
GSM153059.CEL,-1.9907837849571985,-4.254516105229134,primary_prostate_tumor
GSM153061.CEL,-2.565620387694349,-3.145266525805993,primary_prostate_tumor
GSM153063.CEL,1.6312794953404028,3.2613338224054025,primary_prostate_tumor
GSM153064.CEL,-2.6796466215072323,-0.7952372233964561,primary_prostate_tumor
GSM153066.CEL,-6.698368158413854,-2.851178444960834,primary_prostate_tumor
GSM153067.CEL,3.6373941931038365,-0.6329527135667558,primary_prostate_tumor
GSM153068.CEL,-1.858415238070507,-4.409772962719043,primary_prostate_tumor
GSM153069.CEL,5.989471398928089,1.6844279209041946,primary_prostate_tumor
GSM153070.CEL,-0.3223317668153543,0.5113072830924267,primary_prostate_tumor
GSM153072.CEL,-5.153453626408055,-0.3615999965860917,primary_prostate_tumor
GSM153073.CEL,1.1985499389851686,-1.9348846487546332,primary_prostate_tumor
GSM153074.CEL,2.3128140657726246,2.057332124150222,primary_prostate_tumor
GSM153075.CEL,1.1556422882753348,2.282525906806965,primary_prostate_tumor
GSM153076.CEL,1.4159916652419104,-1.240474668163609,primary_prostate_tumor
GSM153077.CEL,-0.5968236979823488,-0.38985930470678276,primary_prostate_tumor
GSM153078.CEL,-1.425100737366242,-4.380025061407122,primary_prostate_tumor
GSM153079.CEL,-4.374801960676731,-2.928654517105475,primary_prostate_tumor
GSM153080.CEL,-2.0204857212481837,2.626283321788787,primary_prostate_tumor
GSM153081.CEL,-1.9624949557387033,0.8039157883816049,primary_prostate_tumor
GSM153082.CEL,-3.781157303098437,-1.0008566957006568,primary_prostate_tumor
GSM153083.CEL,-5.1026216165743,-2.869468234997871,primary_prostate_tumor
GSM153084.CEL,-5.812177343163347,-2.179484507161835,primary_prostate_tumor
GSM153085.CEL,-4.897668104257563,-1.7582069228849624,primary_prostate_tumor
GSM153086.CEL,-5.236897517924796,-3.017931458298956,primary_prostate_tumor
GSM153087.CEL,1.7832993271757878,2.147101695127221,primary_prostate_tumor
GSM153088.CEL,1.2043746556574106,-0.7636801418472798,primary_prostate_tumor
GSM153089.CEL,-3.293223695142106,2.3496212656297693,primary_prostate_tumor
GSM153090.CEL,1.6549310724860626,1.1239320257437888,primary_prostate_tumor
GSM153091.CEL,-4.564160986511723,-2.16328428704303,primary_prostate_tumor
GSM153092.CEL,-1.7646952976213652,-0.2445804076030125,primary_prostate_tumor
GSM153093.CEL,3.5469897714672425,1.6714792006643926,primary_prostate_tumor
GSM153094.CEL,-4.496528107110624,-2.135439150202941,primary_prostate_tumor
GSM153095.CEL,-3.752472474162365,-0.23405922446855362,primary_prostate_tumor
GSM153096.CEL,-3.7918445030633885,-1.9337985610646955,primary_prostate_tumor
GSM153097.CEL,-4.658677226213961,-2.359488947657142,primary_prostate_tumor
GSM153098.CEL,-1.489447261233235,-1.833532727003068,primary_prostate_tumor
GSM153099.CEL,1.9037166145136932,0.6724727802792184,primary_prostate_tumor
GSM153100.CEL,-1.844101783437409,-1.0008917635849133,primary_prostate_tumor
GSM153101.CEL,-2.9433115046642153,-1.928386172641435,primary_prostate_tumor
GSM153102.CEL,-3.549777925491601,-3.4485107094899607,primary_prostate_tumor
GSM153103.CEL,-5.540158215275529,-2.2688778224681685,primary_prostate_tumor
GSM153104.CEL,5.314457691292321,0.6090991948674876,primary_prostate_tumor
GSM153106.CEL,-3.2440616228062007,-3.0384878032726927,primary_prostate_tumor
GSM153107.CEL,-4.090039869199914,-2.8422765040588898,primary_prostate_tumor
GSM153108.CEL,-0.6777856111820386,-1.6091782009052424,primary_prostate_tumor
GSM153109.CEL,-5.020072860514844,-3.8064765619255607,primary_prostate_tumor
GSM153110.CEL,-4.762322622098063,-3.1608591414626512,primary_prostate_tumor
GSM153111.CEL,-5.010796728657067,-2.5295856873830114,primary_prostate_tumor
GSM153112.CEL,-2.2328809840619384,-1.35340237041725,primary_prostate_tumor
GSM153113.CEL,-5.545341361347849,-1.4706513559438759,primary_prostate_tumor
GSM153114.CEL,3.3015625009999123,2.9251378061827653,primary_prostate_tumor
GSM187533.CEL,-6.94184955234071,-1.8568674880446094,primary_prostate_tumor
GSM187534.CEL,-6.548286996175744,-1.4769520761247386,primary_prostate_tumor
GSM187535.CEL,-6.152138452672604,-3.5719705680897684,primary_prostate_tumor
GSM153238.CEL,-4.026329940784093,-4.921459427120484,normal
GSM153239.CEL,5.468640848771162,3.1859021533354386,normal
GSM153240.CEL,4.050511050338516,2.182853915710412,normal
GSM153241.CEL,-0.6516702336768062,2.9934712539182318,normal
GSM153242.CEL,2.9519358582483592,4.3412128862563035,normal
GSM153243.CEL,-4.424468152314055,0.877874283534109,normal
GSM153244.CEL,2.13268451893558,3.5188560310342374,normal
GSM153245.CEL,6.966313963697009,2.0310043838353784,normal
GSM153247.CEL,-0.7807773763155036,-2.7585452925726077,normal
GSM153248.CEL,-3.346299478106684,-1.0889693330166033,normal
GSM153249.CEL,2.751800887445546,1.9709899341521555,normal
GSM153250.CEL,0.8659831234529791,-0.4936534598816107,normal
GSM153251.CEL,1.7478505854351567,4.534360818345212,normal
GSM153252.CEL,3.426948949892251,-0.2759093349504282,normal
GSM153253.CEL,6.254127810368569,1.6935472053467246,normal
GSM153254.CEL,0.17930757923414595,2.6062235591815233,normal
GSM153255.CEL,5.260792316872708,1.4076365685451986,normal
GSM153256.CEL,2.76553759045413,0.11913842851741584,normal
GSM153257.CEL,4.539541974903224,0.2876414146106774,normal
GSM153258.CEL,-1.36014850362492,0.2830628796755023,normal
GSM153259.CEL,-3.9536860268378335,-2.575864409663816,normal
GSM153260.CEL,-2.640512584214279,0.9133388377803929,normal
GSM153261.CEL,-2.1500357199434164,1.1823392997429383,normal
GSM153262.CEL,4.789483207301524,3.001815109825452,normal
GSM153263.CEL,1.2142525877900063,-0.030955308805263478,normal
GSM153264.CEL,0.1361155459863923,-0.0982785486155431,normal
GSM153265.CEL,5.411555893811289,-0.4757671239570776,normal
GSM153266.CEL,-0.9524864605521276,0.272627208552294,normal
GSM153267.CEL,0.8477061694083815,0.8839402068391408,normal
GSM153268.CEL,6.220473889380535,2.5591322296038386,normal
GSM153269.CEL,1.7806355726250214,1.5936342451748449,normal
GSM153270.CEL,-0.6613943562813158,1.3167616922607126,normal
GSM153271.CEL,1.4849735351950888,-0.7168903393666336,normal
GSM153272.CEL,3.6736511636973113,0.3327131495635572,normal
GSM153273.CEL,-3.125656865170483,-1.4895805814601313,normal
GSM153274.CEL,0.8494038785908895,1.7136615537142645,normal
GSM153275.CEL,2.5478559513509196,1.2598663847202651,normal
GSM153276.CEL,3.783643330190838,1.5075585724388072,normal
GSM153277.CEL,2.953385764682886,2.293041315852382,normal
GSM153278.CEL,-0.22453581717495788,1.718442555011701,normal
GSM153279.CEL,2.6602665293796925,2.7755477322247386,normal
GSM153280.CEL,4.009905371757523,2.8723397222472014,normal
GSM153281.CEL,4.888955887035646,2.2969011682327047,normal
GSM153282.CEL,5.87510580456006,2.1625975654184764,normal
GSM153283.CEL,0.10271180237035286,-0.3794523351956958,normal
GSM153284.CEL,3.1456752271217114,1.2381150811999377,normal
GSM153285.CEL,6.107548657421353,0.07806484796998064,normal
GSM153286.CEL,3.296089454226362,0.6303369130702581,normal
GSM153288.CEL,4.227809524110446,0.8938335275873898,normal
GSM153289.CEL,1.5886157770344298,0.4845241153578467,normal
GSM153290.CEL,4.936417417967341,1.4243878040891809,normal
GSM153291.CEL,4.934301353724216,1.0636855703109054,normal
GSM153292.CEL,5.782266269663873,1.09280394282539,normal
GSM153293.CEL,2.5786776365654887,-0.015061585898711647,normal
GSM153294.CEL,-1.9765162973768384,-1.9667551157151246,normal
GSM153295.CEL,6.886399138926792,0.4322161096327127,normal
