,wt-SNE 1,wt-SNE 2,type
GSM153054.CEL,3.3812692816448076,3.2329207161320284,primary_prostate_tumor
GSM153055.CEL,0.5858534125250376,0.8283638458982269,primary_prostate_tumor
GSM153056.CEL,3.3046456396124397,1.1054531288925602,primary_prostate_tumor
GSM153057.CEL,-3.776423988300947,0.7427443259915073,primary_prostate_tumor
GSM153058.CEL,4.702048767478544,0.7432863298949139,primary_prostate_tumor
GSM153059.CEL,4.165265308053934,-0.9529897403530936,primary_prostate_tumor
GSM153061.CEL,1.1537997560695978,-5.596132281775477,primary_prostate_tumor
GSM153063.CEL,1.9670837879062895,4.0501472710107675,primary_prostate_tumor
GSM153064.CEL,-2.03592832352523,-1.75838123778568,primary_prostate_tumor
GSM153066.CEL,2.9609348813234226,-3.5614838084023352,primary_prostate_tumor
GSM153067.CEL,-1.578953639800633,1.2360027947403718,primary_prostate_tumor
GSM153068.CEL,4.4906204769294815,-1.6684512907287747,primary_prostate_tumor
GSM153069.CEL,-1.6991525420280624,3.3479151223492964,primary_prostate_tumor
GSM153070.CEL,1.5530138498894013,2.7457645184911805,primary_prostate_tumor
GSM153072.CEL,-3.7480821876356463,-2.857175378034989,primary_prostate_tumor
GSM153073.CEL,-3.743856555850132,-2.126387969467499,primary_prostate_tumor
GSM153074.CEL,1.8403146606609975,1.479201880853633,primary_prostate_tumor
GSM153075.CEL,2.038730196676878,1.2123053731791564,primary_prostate_tumor
GSM153076.CEL,-1.2737200938845898,-0.5397125496700272,primary_prostate_tumor
GSM153077.CEL,0.08451643435500589,-1.1509629837779667,primary_prostate_tumor
GSM153078.CEL,4.548251821511459,-0.5223361436646381,primary_prostate_tumor
GSM153079.CEL,0.13187741711780612,-2.333936118003201,primary_prostate_tumor
GSM153080.CEL,-3.1888846552688617,1.2679769162694792,primary_prostate_tumor
GSM153081.CEL,3.1121815920877185,0.04580798659930231,primary_prostate_tumor
GSM153082.CEL,-0.6157850584123346,-3.022050173802977,primary_prostate_tumor
GSM153083.CEL,1.3211078534758751,-2.3819142515726472,primary_prostate_tumor
GSM153084.CEL,2.124327047465277,-1.7030776701931736,primary_prostate_tumor
GSM153085.CEL,2.2065728231572326,-2.2805518490935093,primary_prostate_tumor
GSM153086.CEL,0.8917097484275707,-3.078273609215717,primary_prostate_tumor
GSM153087.CEL,0.789614380105026,0.3758488407709549,primary_prostate_tumor
GSM153088.CEL,-1.476990100754025,-0.2698285981733106,primary_prostate_tumor
GSM153089.CEL,-0.5441712290162752,-5.3146259204657555,primary_prostate_tumor
GSM153090.CEL,-0.18033616967210667,0.7325431509309333,primary_prostate_tumor
GSM153091.CEL,0.930325376010344,-2.2334539313093713,primary_prostate_tumor
GSM153092.CEL,1.3885256586274604,-0.8360537378386237,primary_prostate_tumor
GSM153093.CEL,-0.676595873347827,2.3138076055193504,primary_prostate_tumor
GSM153094.CEL,0.6727535653058783,-2.2478150008046613,primary_prostate_tumor
GSM153095.CEL,-1.7214966492899968,-2.567368502549667,primary_prostate_tumor
GSM153096.CEL,0.3470049013645633,-1.6939341056291957,primary_prostate_tumor
GSM153097.CEL,1.2070778496224364,-2.352948175899878,primary_prostate_tumor
GSM153098.CEL,-2.1038232835409527,-1.4010148151599866,primary_prostate_tumor
GSM153099.CEL,-0.5831815784621865,0.3510360966137066,primary_prostate_tumor
GSM153100.CEL,-0.36614513006882576,-1.6110726828326698,primary_prostate_tumor
GSM153101.CEL,-0.6107060263728181,-3.4447538346293505,primary_prostate_tumor
GSM153102.CEL,2.133357733068014,-5.0133049604697755,primary_prostate_tumor
GSM153103.CEL,1.9145750775218655,-2.9911723984698546,primary_prostate_tumor
GSM153104.CEL,-3.104179940775949,2.439858187897475,primary_prostate_tumor
GSM153106.CEL,2.0530070613647498,-4.969404749099464,primary_prostate_tumor
GSM153107.CEL,2.580600066887855,-2.784613709778286,primary_prostate_tumor
GSM153108.CEL,-2.9438421145991875,-1.3804660901778192,primary_prostate_tumor
GSM153109.CEL,2.11851762376495,-5.003148553072087,primary_prostate_tumor
GSM153110.CEL,1.4084873822852335,-3.3050853523703436,primary_prostate_tumor
GSM153111.CEL,2.12558281789017,-2.409051380744816,primary_prostate_tumor
GSM153112.CEL,-1.6560018904850027,-1.5724292573308465,primary_prostate_tumor
GSM153113.CEL,-0.8263313250905472,-3.71480166791897,primary_prostate_tumor
GSM153114.CEL,1.4195922549344393,0.9577133866469945,primary_prostate_tumor
GSM187533.CEL,3.3005066780850676,-2.572120057648778,primary_prostate_tumor
GSM187534.CEL,-1.2285711946511968,-4.127004731332533,primary_prostate_tumor
GSM187535.CEL,-1.9006018501442548,-3.3890206010411013,primary_prostate_tumor
GSM153238.CEL,4.366312762968226,-3.5993141000567235,normal
GSM153239.CEL,-2.778365187664215,4.314393245842007,normal
GSM153240.CEL,0.47080921564010797,1.904396781197433,normal
GSM153241.CEL,3.812757252442458,1.5496103857047856,normal
GSM153242.CEL,-4.53502741817448,2.318305741555259,normal
GSM153243.CEL,-4.8085011137415705,0.9507954030005515,normal
GSM153244.CEL,0.9484832969947086,3.8818092495396384,normal
GSM153245.CEL,-1.2433020336431777,5.20233422046779,normal
GSM153247.CEL,-4.265070772447563,-0.8958118416340397,normal
GSM153248.CEL,-1.121684979732335,-2.0878741838036508,normal
