,wt-SNE 1,wt-SNE 2,type
GSM153054.CEL,3.361797295620902,-1.2785728641494771,primary_prostate_tumor
GSM153055.CEL,-0.4997817345269462,0.619708820434557,primary_prostate_tumor
GSM153056.CEL,-0.4565295807017874,3.6023045277055177,primary_prostate_tumor
GSM153057.CEL,-0.6524588882655344,2.2161046265454893,primary_prostate_tumor
GSM153058.CEL,-0.6558579329669442,2.4655447790660294,primary_prostate_tumor
GSM153059.CEL,6.4402597334197305,1.1215065919041054,primary_prostate_tumor
GSM153061.CEL,2.8652008154393314,-2.997911413146738,primary_prostate_tumor
GSM153063.CEL,-3.224393059951454,1.8554322460627732,primary_prostate_tumor
GSM153064.CEL,2.4440381036463634,-0.49322474785025555,primary_prostate_tumor
GSM153066.CEL,5.799098651875607,-0.14066255134529984,primary_prostate_tumor
GSM153067.CEL,-2.1635161160316376,0.5822387411694233,primary_prostate_tumor
GSM153068.CEL,6.509371764823928,1.1749069874521405,primary_prostate_tumor
GSM153069.CEL,-5.339592914491701,-1.3600882337640379,primary_prostate_tumor
GSM153070.CEL,0.23535171569885976,-0.14499016813103258,primary_prostate_tumor
GSM153072.CEL,3.432149864296449,-2.243411694911274,primary_prostate_tumor
GSM153073.CEL,-2.253097268420955,-3.4453733952512944,primary_prostate_tumor
GSM153074.CEL,-1.814549811207324,1.010562987162512,primary_prostate_tumor
GSM153075.CEL,-1.0506005138921342,1.4084474445377382,primary_prostate_tumor
GSM153076.CEL,-1.3989226456874018,-0.05349652541265853,primary_prostate_tumor
GSM153077.CEL,0.051953362885749685,-0.934879548540548,primary_prostate_tumor
GSM153078.CEL,6.215529189570931,-1.8160055113276394,primary_prostate_tumor
GSM153079.CEL,4.484421330126053,0.7385242428109331,primary_prostate_tumor
GSM153080.CEL,1.6835089523458948,0.6005406872028637,primary_prostate_tumor
GSM153081.CEL,1.6475919411040456,1.3957195731376786,primary_prostate_tumor
GSM153082.CEL,3.1431436820256056,0.6127878897162549,primary_prostate_tumor
GSM153083.CEL,4.259450734144411,0.4921417606843882,primary_prostate_tumor
GSM153084.CEL,5.097967066152857,0.9979256533558685,primary_prostate_tumor
GSM153085.CEL,3.9708628113755666,1.3646840042968176,primary_prostate_tumor
GSM153086.CEL,4.368790778039028,0.21631065512824255,primary_prostate_tumor
GSM153087.CEL,-1.3716002796962719,1.5665687359780176,primary_prostate_tumor
