feature,value
1x1,1.5733692305194966e-07
1x2,1.2313905248756331e-07
1x3,1.5100205169705358e-07
1x4,1.465456105780685e-07
1x5,1.4664336337384558e-07
1x6,1.5296443807159365e-07
1x7,1.512332034050644e-07
1x8,1.6484787016512984e-07
1x9,1.3295372008916168e-07
1x10,1.34026575467715e-07
1x11,1.300101541551029e-07
1x12,1.4923930023350491e-07
1x13,1.5132014610504888e-07
1x14,1.5016018821117663e-07
1x15,1.3917380547958127e-07
1x16,1.2140101400903193e-07
1x17,1.1081765680501947e-07
1x18,1.4065110855595058e-07
1x19,1.3878776813107376e-07
1x20,1.4867810091488182e-07
1x21,1.2010540905844252e-07
1x22,1.9219975811390874e-07
1x23,1.3616496474988756e-07
1x24,1.203941770581506e-07
1x25,1.2189305106243055e-07
1x26,1.7438213396058448e-07
1x27,1.4374326937607857e-07
1x28,1.289354855291505e-07
2x1,1.3540892464048701e-07
2x2,1.741589686605246e-07
2x3,1.2580516949887785e-07
2x4,1.2066413524963222e-07
2x5,1.5387207409249806e-07
2x6,1.7381333597232714e-07
2x7,1.4135967010879618e-07
2x8,1.4369239861119703e-07
2x9,1.5940329225523876e-07
2x10,1.4572614751259876e-07
2x11,1.1049838540768528e-07
2x12,4.0048527355160645e-07
2x13,6.012535490789772e-07
2x14,1.4832825911865962e-07
2x15,1.7208098922491155e-07
2x16,1.4967526509672015e-07
2x17,9.38527404034114e-08
2x18,1.9523573563934786e-07
2x19,1.0558639894670057e-07
2x20,1.2502709962560846e-07
2x21,1.318071519546467e-07
2x22,1.1971828885241793e-07
2x23,1.4056839551422562e-07
2x24,1.449430247753507e-07
2x25,1.4662911715118218e-07
2x26,1.3843182334235306e-07
2x27,1.4221744746907736e-07
2x28,1.5811599519004015e-07
3x1,8.948576721583096e-08
3x2,1.3445030498621953e-07
3x3,1.8420312996882926e-07
3x4,1.4809601429358392e-07
3x5,1.251625433902284e-07
3x6,1.392117506569067e-07
3x7,1.682657136066479e-07
3x8,1.6245472198924803e-07
3x9,1.0143711453257017e-07
3x10,1.237534307439203e-07
3x11,3.6952011775152833e-06
3x12,8.010389772392885e-06
3x13,1.3000569097077364e-05
3x14,7.008839580214802e-06
3x15,5.38738857624895e-06
3x16,2.288333611227284e-06
3x17,4.204853565871339e-06
3x18,5.826014960450629e-07
3x19,3.432766951266489e-07
3x20,2.3148248823624602e-07
3x21,2.4709432541878674e-07
3x22,1.429315533417197e-07
3x23,1.1639042741164415e-07
3x24,1.3590320743362224e-07
3x25,1.629675584799929e-07
3x26,1.5429372341331806e-07
3x27,1.3098873707458912e-07
3x28,1.4341962038413055e-07
4x1,1.3122278075668392e-07
4x2,1.326646303238828e-07
4x3,1.3819664554629725e-07
4x4,1.600418633789517e-07
4x5,1.2700555033638812e-07
4x6,4.08655040600459e-07
4x7,5.2421710518749e-06
4x8,5.2378774291015995e-06
4x9,7.996310255852517e-07
4x10,1.0891974159481083e-05
4x11,3.0938566466535125e-05
4x12,7.666830189734885e-05
4x13,4.650803386990264e-05
4x14,0.0003022360793336802
4x15,0.0008026466691407166
4x16,0.0003223689533395992
4x17,3.991008080465401e-05
4x18,2.163648282959248e-05
4x19,2.5199119219304714e-05
4x20,2.6468041233454786e-05
4x21,8.239949310933526e-06
4x22,5.0412794096198965e-06
4x23,1.2949995430922415e-06
4x24,3.6262167018653796e-07
4x25,1.675318818038251e-07
4x26,1.4776943805740525e-07
4x27,1.6731651372065626e-07
4x28,1.4303339841107414e-07
5x1,1.1906412087150984e-07
5x2,1.220440834030333e-07
5x3,1.3581300770405908e-07
5x4,1.3866292007375582e-07
5x5,1.1620032876798556e-07
5x6,2.219129281561876e-06
5x7,4.992156802776601e-06
5x8,7.651934998627254e-06
5x9,4.722254965174436e-05
5x10,0.0006585311866530013
5x11,0.0021601602967328817
5x12,0.002865533713194907
5x13,0.013789393327487949
5x14,0.005841364551948303
5x15,0.0038821440888464243
5x16,0.001611392228688097
5x17,0.0028584930530703608
5x18,0.00110455195433092
5x19,0.0016001452298553232
5x20,0.0006161881341250723
5x21,0.00022218584137551143
5x22,3.6094357919532815e-05
5x23,2.1490309251371882e-05
5x24,5.570532132366535e-06
5x25,3.339965170942628e-06
5x26,2.8825413977657797e-06
5x27,2.349525053481592e-06
5x28,1.5274312919259539e-07
6x1,1.9356917537050886e-07
6x2,1.234032765207409e-07
6x3,1.0309350430037461e-07
6x4,1.7858034624672912e-07
6x5,4.892073415164076e-07
6x6,1.038291921705465e-06
6x7,1.0805592511138124e-05
6x8,4.752221227625722e-05
6x9,0.0004677361290156005
6x10,0.0041960084760516185
6x11,0.019382984242334464
6x12,0.0010526695808972216
6x13,0.007520071302044916
6x14,0.01978896212104047
6x15,0.009314582142684626
6x16,0.006284398320398742
6x17,0.016302589486456732
6x18,0.06261098855683928
6x19,0.00269035210506898
6x20,0.0006625144592290901
6x21,0.0002496423874228302
6x22,0.0007310220452530522
6x23,0.00022023417776008883
6x24,5.11808239221857e-05
6x25,5.928528116819272e-06
6x26,1.5148731175870568e-06
6x27,1.3443453209515102e-07
6x28,1.9112882882396406e-07
7x1,1.4611161057538767e-07
7x2,1.3489845749641315e-07
7x3,1.54093031408395e-07
7x4,1.4202875045526382e-07
7x5,5.987781067837802e-07
7x6,1.1386429764763725e-05
7x7,0.00041830431899921787
7x8,0.00033777429547671606
7x9,0.00038596557374625
7x10,0.0016284591944418663
7x11,0.0066827821356876356
7x12,0.008952770903431995
7x13,0.0031790708395456977
7x14,0.006447056183997778
7x15,0.009328038271279078
7x16,0.006697554879330878
7x17,0.003981540533642984
7x18,0.003923344277310494
7x19,0.0013295182796413823
7x20,0.0006378074413195062
7x21,0.0013757440209392364
7x22,0.004068985115456367
7x23,0.002418419228337857
7x24,0.00027348813526060687
7x25,1.1822066326759954e-05
7x26,1.4412215868403367e-07
7x27,1.1475987207406141e-07
7x28,1.1497479530022993e-07
8x1,1.8013008267120727e-07
8x2,2.4014789482574905e-07
8x3,3.4370121199893236e-07
8x4,7.542199918493155e-07
8x5,2.2325552573737997e-06
8x6,0.0001170667432480918
8x7,0.00014174833389279083
8x8,0.0006864937219474241
8x9,0.000377417989486954
8x10,0.0012506623506235194
8x11,0.006084761717290554
8x12,0.01679351949538777
8x13,0.00946743231442803
8x14,0.013336473852879829
8x15,0.011638144787534992
8x16,0.015203908336322144
8x17,0.007653143799671727
8x18,0.011551755470223177
8x19,0.0040838892567278025
8x20,0.008249547707696397
8x21,0.028555108673307125
8x22,0.01488212143152746
8x23,0.0005927693642540539
8x24,0.00048743492865094924
8x25,0.00015559264818911227
8x26,1.8075956370737056e-06
8x27,1.0548220217940381e-07
8x28,1.2138098723958552e-07
9x1,1.498990107715132e-07
9x2,2.887782053134061e-07
9x3,4.848079515015135e-07
9x4,1.567062962912039e-06
9x5,4.7846971207051116e-06
9x6,4.737623114995668e-05
9x7,0.0006676817796758222
9x8,0.0009792733447212248
9x9,0.0010912650879688754
9x10,0.0017618845751741024
9x11,0.003150983930672857
9x12,0.01906934714159393
9x13,0.009347996155424658
9x14,0.012284330557762357
9x15,0.01898401740180351
9x16,0.009433037082028905
9x17,0.009576706476445457
9x18,0.02976368587441588
9x19,0.00787156592885317
9x20,0.0038481599491857095
9x21,0.007686616818075372
9x22,0.0015413881797223135
9x23,0.003812063667254079
9x24,0.0076441988943907295
9x25,0.011404175106414971
